"1840","baisser","12"
"1840","bal","84"
"1840","balai","1"
"1840","balance","41"
"1840","balancement","4"
"1840","baliverne","1"
"1840","banal","4"
"1840","bandit","11"
"1840","banlieue","15"
"1840","banni","3"
"1840","banque","174"
"1840","banqueroute","6"
"1840","banquet","109"
"1840","banquier","41"
"1840","baraque","7"
"1840","barbare","16"
"1840","barbarie","23"
"1840","barde","18"
"1840","baril","1"
"1840","barrage","2"
"1840","barrer,le,passage","3"
"1840","barricade","2"
"1840","barricader","5"
"1840","barrique","1"
"1840","bas","667"
"1840","base","99"
"1840","bassesse","8"
"1840","bassin","19"
"1840","bastion","13"
"1840","bati","1"
"1840","battre","37"
"1840","battu","44"
"1840","beau","498"
"1840","beaucoup","1074"
"1840","berceau","22"
"1840","bercer","6"
"1840","besoin","535"
"1840","bevue","2"
"1840","bien","3962"
"1840","bienfait","27"
"1840","biens","118"
"1840","bienveillance","73"
"1840","bienveillant","19"
"1840","bile","24"
"1840","bille","8"
"1840","binette","1"
"1840","bise","10"
"1840","bizarre","29"
"1840","bizarrerie","1"
"1840","ble","26"
"1840","blesse","10"
"1840","blesser","31"
"1840","blessure","57"
"1840","bloc","54"
"1840","blockhaus","1"
"1840","bloquer","23"
"1840","bois","427"
"1840","bombance","2"
"1840","bombe","11"
"1840","bon","898"
"1840","bon,pour","9"
"1840","bonbon","3"
"1840","bonheur","264"
"1840","bonhomie","11"
"1840","bonhomme","10"
"1840","bonifier","1"
"1840","bonne","653"
"1840","bonne,femme","4"
"1840","bonne,foi","41"
"1840","bord","287"
"1840","borde","8"
"1840","bordereau","2"
"1840","borne","54"
"1840","bosquet","5"
"1840","botte","16"
"1840","bouche","140"
"1840","boucher","7"
"1840","bouchon","6"
"1840","boucle","3"
"1840","boucler","4"
"1840","bouder","1"
"1840","bouderie","3"
"1840","boue","23"
"1840","boueux","1"
"1840","bouffonnerie","2"
"1840","bougie","12"
"1840","bouillant","3"
"1840","bouille","3"
"1840","bouillonner","3"
"1840","bouleverser","6"
"1840","bouquet","30"
"1840","bourse","724"
"1840","boursier","8"
"1840","bout","169"
"1840","boutade","4"
"1840","bouteille","39"
"1840","boutique","44"
"1840","branches","57"
"1840","brasier","2"
"1840","bravache","2"
"1840","bravade","2"
"1840","bravement","9"
"1840","bref","37"
"1840","brigand","8"
"1840","brigue","26"
"1840","brillant","78"
"1840","briller","34"
"1840","brise","24"
"1840","briser","52"
"1840","brocanteur","4"
"1840","broche","6"
"1840","broder","4"
"1840","brouille","1"
"1840","broyer","1"
"1840","bruit","518"
"1840","brumeux","1"
"1840","brusque","18"
"1840","brutal","4"
"1840","budget","114"
"1840","buisson","4"
"1840","bure","7"
"1840","but","680"
"1840","cable","1"
"1840","cache","23"
"1840","cacher","54"
"1840","cacheter","3"
"1840","cadastre","28"
"1840","cadenas","1"
"1840","caille","11"
"1840","cailloutage","1"
"1840","cale","8"
"1840","calendrier","14"
"1840","calibre","9"
"1840","calme","255"
"1840","calmer","71"
"1840","calomnier","4"
"1840","camarade","15"
"1840","canaille","4"
"1840","canal","64"
"1840","canon","211"
"1840","capable","56"
"1840","capable,de","26"
"1840","capital","58"
"1840","capitaliste","1"
"1840","caprice","17"
"1840","capricieux","6"
"1840","captiver","2"
"1840","capucin","1"
"1840","carabine","85"
"1840","carcasse","2"
"1840","caressant","4"
"1840","caresse","4"
"1840","caresser","4"
"1840","cargaison","5"
"1840","carnassier","1"
"1840","carre","4"
"1840","carreau","6"
"1840","carrefour","4"
"1840","carrosse","5"
"1840","carte","59"
"1840","cartel","3"
"1840","carton","8"
